BINID	total_length	seq_length_mean	total_seq_counts	genome_id	tp_length	tp_seq_counts	precision_bp	precision_seq	length_gs	seq_counts_gs	recall_bp	recall_seq	rank	Tool	sample_id
Otu1028	3672178	351.1357812201186	10458.0	Otu1028	3672178	10458.0	1.0	1.0	3672178	10458.0	1.0	1.0	NA	Gold standard	sample_0
Otu852.0	2279468	349.7725947521866	6517.0	Otu852.0	2279468	6517.0	1.0	1.0	2279468	6517.0	1.0	1.0	NA	Gold standard	sample_0
Otu696	2056191	351.5457343135579	5849.0	Otu696	2056191	5849.0	1.0	1.0	2056191	5849.0	1.0	1.0	NA	Gold standard	sample_0
Otu921.0	1375301	286.10380694820054	4807.0	Otu921.0	1375301	4807.0	1.0	1.0	1375301	4807.0	1.0	1.0	NA	Gold standard	sample_0
Otu846.0	3414513	855.3389278557114	3992.0	Otu846.0	3414513	3992.0	1.0	1.0	3414513	3992.0	1.0	1.0	NA	Gold standard	sample_0
Otu150.0	3293052	10355.509433962265	318.0	Otu150.0	3293052	318.0	1.0	1.0	3293052	318.0	1.0	1.0	NA	Gold standard	sample_0
Otu1961	1694701	351.3061774461028	4824.0	Otu1961	1694701	4824.0	1.0	1.0	1694701	4824.0	1.0	1.0	NA	Gold standard	sample_0
Otu289	1389282	289.49406126276307	4799.0	Otu289	1389282	4799.0	1.0	1.0	1389282	4799.0	1.0	1.0	NA	Gold standard	sample_0
Otu965	2174690	347.33908321354414	6261.0	Otu965	2174690	6261.0	1.0	1.0	2174690	6261.0	1.0	1.0	NA	Gold standard	sample_0
Otu391	2373764	542.3267077907242	4377.0	Otu391	2373764	4377.0	1.0	1.0	2373764	4377.0	1.0	1.0	NA	Gold standard	sample_0
Otu936	1237061	430.7315459610028	2872.0	Otu936	1237061	2872.0	1.0	1.0	1237061	2872.0	1.0	1.0	NA	Gold standard	sample_0
Otu2423	1519458	287.66717152593714	5282.0	Otu2423	1519458	5282.0	1.0	1.0	1519458	5282.0	1.0	1.0	NA	Gold standard	sample_0
Otu70.0	1915285	349.56835188903085	5479.0	Otu70.0	1915285	5479.0	1.0	1.0	1915285	5479.0	1.0	1.0	NA	Gold standard	sample_0
Otu648.0	1561674	288.397783933518	5415.0	Otu648.0	1561674	5415.0	1.0	1.0	1561674	5415.0	1.0	1.0	NA	Gold standard	sample_0
Otu71	2343484	680.2566037735849	3445.0	Otu71	2343484	3445.0	1.0	1.0	2343484	3445.0	1.0	1.0	NA	Gold standard	sample_0
Otu692	1229849	287.14662619659117	4283.0	Otu692	1229849	4283.0	1.0	1.0	1229849	4283.0	1.0	1.0	NA	Gold standard	sample_0
Otu219.0	4463124	873.0680751173709	5112.0	Otu219.0	4463124	5112.0	1.0	1.0	4463124	5112.0	1.0	1.0	NA	Gold standard	sample_0
Otu1405	3438505	432.73408004027186	7946.0	Otu1405	3438505	7946.0	1.0	1.0	3438505	7946.0	1.0	1.0	NA	Gold standard	sample_0
Otu1270	3259270	429.699406723797	7585.0	Otu1270	3259270	7585.0	1.0	1.0	3259270	7585.0	1.0	1.0	NA	Gold standard	sample_0
Otu1723	834011	285.8159698423578	2918.0	Otu1723	834011	2918.0	1.0	1.0	834011	2918.0	1.0	1.0	NA	Gold standard	sample_0
Otu2209	1712098	351.77686459831517	4867.0	Otu2209	1712098	4867.0	1.0	1.0	1712098	4867.0	1.0	1.0	NA	Gold standard	sample_0
Otu1664	2592019	432.07517919653276	5999.0	Otu1664	2592019	5999.0	1.0	1.0	2592019	5999.0	1.0	1.0	NA	Gold standard	sample_0
Otu1986.0	1430513	286.79089815557336	4988.0	Otu1986.0	1430513	4988.0	1.0	1.0	1430513	4988.0	1.0	1.0	NA	Gold standard	sample_0
Otu713	1035084	429.6737235367372	2409.0	Otu713	1035084	2409.0	1.0	1.0	1035084	2409.0	1.0	1.0	NA	Gold standard	sample_0
Otu132	2210540	846.9501915708812	2610.0	Otu132	2210540	2610.0	1.0	1.0	2210540	2610.0	1.0	1.0	NA	Gold standard	sample_0
Otu1382	2672515	285.83048128342244	9350.0	Otu1382	2672515	9350.0	1.0	1.0	2672515	9350.0	1.0	1.0	NA	Gold standard	sample_0
Otu1330	561737	287.03985692386306	1957.0	Otu1330	561737	1957.0	1.0	1.0	561737	1957.0	1.0	1.0	NA	Gold standard	sample_0
Otu833	1670098	4588.181318681319	364.0	Otu833	1670098	364.0	1.0	1.0	1670098	364.0	1.0	1.0	NA	Gold standard	sample_0
Otu2151	1816664	351.24980665119875	5172.0	Otu2151	1816664	5172.0	1.0	1.0	1816664	5172.0	1.0	1.0	NA	Gold standard	sample_0
Otu1182	1104756	355.22700964630224	3110.0	Otu1182	1104756	3110.0	1.0	1.0	1104756	3110.0	1.0	1.0	NA	Gold standard	sample_0
Otu971.0	1706796	285.89547738693466	5970.0	Otu971.0	1706796	5970.0	1.0	1.0	1706796	5970.0	1.0	1.0	NA	Gold standard	sample_0
Otu1184	1080027	285.26862123613313	3786.0	Otu1184	1080027	3786.0	1.0	1.0	1080027	3786.0	1.0	1.0	NA	Gold standard	sample_0
Otu2448	1307619	525.7816646562123	2487.0	Otu2448	1307619	2487.0	1.0	1.0	1307619	2487.0	1.0	1.0	NA	Gold standard	sample_0
Otu1769	1169858	288.64001973846536	4053.0	Otu1769	1169858	4053.0	1.0	1.0	1169858	4053.0	1.0	1.0	NA	Gold standard	sample_0
Otu1147	3919408	537.9368652209718	7286.0	Otu1147	3919408	7286.0	1.0	1.0	3919408	7286.0	1.0	1.0	NA	Gold standard	sample_0
Otu85.0	1429056	313.1834319526627	4563.0	Otu85.0	1429056	4563.0	1.0	1.0	1429056	4563.0	1.0	1.0	NA	Gold standard	sample_0
Otu1301	3386592	533.7418439716312	6345.0	Otu1301	3386592	6345.0	1.0	1.0	3386592	6345.0	1.0	1.0	NA	Gold standard	sample_0
Otu684	767009	284.92161961367015	2692.0	Otu684	767009	2692.0	1.0	1.0	767009	2692.0	1.0	1.0	NA	Gold standard	sample_0
Otu1892	788148	287.5403137541043	2741.0	Otu1892	788148	2741.0	1.0	1.0	788148	2741.0	1.0	1.0	NA	Gold standard	sample_0
Otu2123	1384637	286.0820247933884	4840.0	Otu2123	1384637	4840.0	1.0	1.0	1384637	4840.0	1.0	1.0	NA	Gold standard	sample_0
Otu53.0	3044463	861.9657417893545	3532.0	Otu53.0	3044463	3532.0	1.0	1.0	3044463	3532.0	1.0	1.0	NA	Gold standard	sample_0
Otu1737	4020615	432.3706850198946	9299.0	Otu1737	4020615	9299.0	1.0	1.0	4020615	9299.0	1.0	1.0	NA	Gold standard	sample_0
Otu496.0	1558884	347.3449197860963	4488.0	Otu496.0	1558884	4488.0	1.0	1.0	1558884	4488.0	1.0	1.0	NA	Gold standard	sample_0
Otu856.0	1587961	349.61712901805373	4542.0	Otu856.0	1587961	4542.0	1.0	1.0	1587961	4542.0	1.0	1.0	NA	Gold standard	sample_0
Otu1974.0	2154719	326.522048795272	6599.0	Otu1974.0	2154719	6599.0	1.0	1.0	2154719	6599.0	1.0	1.0	NA	Gold standard	sample_0
Otu179	5017768	1825.9708879184861	2748.0	Otu179	5017768	2748.0	1.0	1.0	5017768	2748.0	1.0	1.0	NA	Gold standard	sample_0
Otu73	4250298	538.2849544072948	7896.0	Otu73	4250298	7896.0	1.0	1.0	4250298	7896.0	1.0	1.0	NA	Gold standard	sample_0
Otu383	988811	283.00257584430454	3494.0	Otu383	988811	3494.0	1.0	1.0	988811	3494.0	1.0	1.0	NA	Gold standard	sample_0
Otu1546	2419900	434.0627802690583	5575.0	Otu1546	2419900	5575.0	1.0	1.0	2419900	5575.0	1.0	1.0	NA	Gold standard	sample_0
Otu1544	1292724	287.59154616240266	4495.0	Otu1544	1292724	4495.0	1.0	1.0	1292724	4495.0	1.0	1.0	NA	Gold standard	sample_0
Otu163	6037438	674.1974316024567	8955.0	Otu163	6037438	8955.0	1.0	1.0	6037438	8955.0	1.0	1.0	NA	Gold standard	sample_0
Otu2362.0	1967995	351.6788777698356	5596.0	Otu2362.0	1967995	5596.0	1.0	1.0	1967995	5596.0	1.0	1.0	NA	Gold standard	sample_0
Otu2468.0	1429638	286.9030704394943	4983.0	Otu2468.0	1429638	4983.0	1.0	1.0	1429638	4983.0	1.0	1.0	NA	Gold standard	sample_0
Otu445	1057755	346.2373158756138	3055.0	Otu445	1057755	3055.0	1.0	1.0	1057755	3055.0	1.0	1.0	NA	Gold standard	sample_0
Otu610	2372853	353.3134306134604	6716.0	Otu610	2372853	6716.0	1.0	1.0	2372853	6716.0	1.0	1.0	NA	Gold standard	sample_0
Otu1635	1661282	288.91860869565215	5750.0	Otu1635	1661282	5750.0	1.0	1.0	1661282	5750.0	1.0	1.0	NA	Gold standard	sample_0
Otu1632	1658853	433.6870588235294	3825.0	Otu1632	1658853	3825.0	1.0	1.0	1658853	3825.0	1.0	1.0	NA	Gold standard	sample_0
Otu1722	1471513	286.17522364838584	5142.0	Otu1722	1471513	5142.0	1.0	1.0	1471513	5142.0	1.0	1.0	NA	Gold standard	sample_0
Otu399.0	1810608	352.25836575875485	5140.0	Otu399.0	1810608	5140.0	1.0	1.0	1810608	5140.0	1.0	1.0	NA	Gold standard	sample_0
Otu2489	3252772	354.0239442751415	9188.0	Otu2489	3252772	9188.0	1.0	1.0	3252772	9188.0	1.0	1.0	NA	Gold standard	sample_0
Otu483	4954846	679.5838705253052	7291.0	Otu483	4954846	7291.0	1.0	1.0	4954846	7291.0	1.0	1.0	NA	Gold standard	sample_0
Otu393.0	3804068	538.8961609293101	7059.0	Otu393.0	3804068	7059.0	1.0	1.0	3804068	7059.0	1.0	1.0	NA	Gold standard	sample_0
Otu1844	1374765	285.9923028916164	4807.0	Otu1844	1374765	4807.0	1.0	1.0	1374765	4807.0	1.0	1.0	NA	Gold standard	sample_0
Otu315.0	2545016	432.67868072084326	5882.0	Otu315.0	2545016	5882.0	1.0	1.0	2545016	5882.0	1.0	1.0	NA	Gold standard	sample_0
Otu1209	2397886	348.2262561719431	6886.0	Otu1209	2397886	6886.0	1.0	1.0	2397886	6886.0	1.0	1.0	NA	Gold standard	sample_0
Otu239.0	1194557	289.8706624605678	4121.0	Otu239.0	1194557	4121.0	1.0	1.0	1194557	4121.0	1.0	1.0	NA	Gold standard	sample_0
Otu365.0	3726684	350.614733276884	10629.0	Otu365.0	3726684	10629.0	1.0	1.0	3726684	10629.0	1.0	1.0	NA	Gold standard	sample_0
Otu1027	2596306	433.94718368711347	5983.0	Otu1027	2596306	5983.0	1.0	1.0	2596306	5983.0	1.0	1.0	NA	Gold standard	sample_0
Otu1817	391137	424.22668112798266	922.0	Otu1817	391137	922.0	1.0	1.0	391137	922.0	1.0	1.0	NA	Gold standard	sample_0
Otu1573	2330224	425.4562716815775	5477.0	Otu1573	2330224	5477.0	1.0	1.0	2330224	5477.0	1.0	1.0	NA	Gold standard	sample_0
Otu183.1	2563122	356.6827163929864	7186.0	Otu183.1	2563122	7186.0	1.0	1.0	2563122	7186.0	1.0	1.0	NA	Gold standard	sample_0
Otu1515	4063506	432.56397700659994	9394.0	Otu1515	4063506	9394.0	1.0	1.0	4063506	9394.0	1.0	1.0	NA	Gold standard	sample_0
Otu364	437986	290.6343729263437	1507.0	Otu364	437986	1507.0	1.0	1.0	437986	1507.0	1.0	1.0	NA	Gold standard	sample_0
Otu520.0	3031516	543.8672407606746	5574.0	Otu520.0	3031516	5574.0	1.0	1.0	3031516	5574.0	1.0	1.0	NA	Gold standard	sample_0
Otu489.0	1965966	353.71824397265203	5558.0	Otu489.0	1965966	5558.0	1.0	1.0	1965966	5558.0	1.0	1.0	NA	Gold standard	sample_0
Otu581	2707291	423.80886036318094	6388.0	Otu581	2707291	6388.0	1.0	1.0	2707291	6388.0	1.0	1.0	NA	Gold standard	sample_0
Otu677	2529054	349.8483884354683	7229.0	Otu677	2529054	7229.0	1.0	1.0	2529054	7229.0	1.0	1.0	NA	Gold standard	sample_0
Otu1719	735820	288.3307210031348	2552.0	Otu1719	735820	2552.0	1.0	1.0	735820	2552.0	1.0	1.0	NA	Gold standard	sample_0
Otu1420.0	1610661	286.8496883348175	5615.0	Otu1420.0	1610661	5615.0	1.0	1.0	1610661	5615.0	1.0	1.0	NA	Gold standard	sample_0
Otu105.0	3003058	536.0689039628704	5602.0	Otu105.0	3003058	5602.0	1.0	1.0	3003058	5602.0	1.0	1.0	NA	Gold standard	sample_0
Otu1000	3729072	531.2825188773329	7019.0	Otu1000	3729072	7019.0	1.0	1.0	3729072	7019.0	1.0	1.0	NA	Gold standard	sample_0
Otu235.0	4362156	1421.8239895697523	3068.0	Otu235.0	4362156	3068.0	1.0	1.0	4362156	3068.0	1.0	1.0	NA	Gold standard	sample_0
Otu467	2328791	345.7744617668894	6735.0	Otu467	2328791	6735.0	1.0	1.0	2328791	6735.0	1.0	1.0	NA	Gold standard	sample_0
Otu2333	1456895	287.12948364209694	5074.0	Otu2333	1456895	5074.0	1.0	1.0	1456895	5074.0	1.0	1.0	NA	Gold standard	sample_0
Otu61.1	405385	251.47952853598014	1612.0	Otu61.1	405385	1612.0	1.0	1.0	405385	1612.0	1.0	1.0	NA	Gold standard	sample_0
Otu130.0	2209172	350.2175015852885	6308.0	Otu130.0	2209172	6308.0	1.0	1.0	2209172	6308.0	1.0	1.0	NA	Gold standard	sample_0
Otu997	598711	290.2137663596704	2063.0	Otu997	598711	2063.0	1.0	1.0	598711	2063.0	1.0	1.0	NA	Gold standard	sample_0
Otu1334	3309075	350.76054695781215	9434.0	Otu1334	3309075	9434.0	1.0	1.0	3309075	9434.0	1.0	1.0	NA	Gold standard	sample_0
Otu1030	1483730	436.00646488392596	3403.0	Otu1030	1483730	3403.0	1.0	1.0	1483730	3403.0	1.0	1.0	NA	Gold standard	sample_0
Otu2479	2348883	540.9679871027176	4342.0	Otu2479	2348883	4342.0	1.0	1.0	2348883	4342.0	1.0	1.0	NA	Gold standard	sample_0
Otu248.0	1230072	285.0688296639629	4315.0	Otu248.0	1230072	4315.0	1.0	1.0	1230072	4315.0	1.0	1.0	NA	Gold standard	sample_0
Otu450.0	1541171	350.4254206457481	4398.0	Otu450.0	1541171	4398.0	1.0	1.0	1541171	4398.0	1.0	1.0	NA	Gold standard	sample_0
Otu283.0	3512013	667.0490028490028	5265.0	Otu283.0	3512013	5265.0	1.0	1.0	3512013	5265.0	1.0	1.0	NA	Gold standard	sample_0
Otu254	5822974	14930.702564102565	390.0	Otu254	5822974	390.0	1.0	1.0	5822974	390.0	1.0	1.0	NA	Gold standard	sample_0
Otu2338	1315654	842.8276745675848	1561.0	Otu2338	1315654	1561.0	1.0	1.0	1315654	1561.0	1.0	1.0	NA	Gold standard	sample_0
Otu634.0	1924539	429.39290495314594	4482.0	Otu634.0	1924539	4482.0	1.0	1.0	1924539	4482.0	1.0	1.0	NA	Gold standard	sample_0
Otu1057	4262738	675.8741081338196	6307.0	Otu1057	4262738	6307.0	1.0	1.0	4262738	6307.0	1.0	1.0	NA	Gold standard	sample_0
Otu459	629414	290.052534562212	2170.0	Otu459	629414	2170.0	1.0	1.0	629414	2170.0	1.0	1.0	NA	Gold standard	sample_0
Otu2403	1508132	665.8419426048565	2265.0	Otu2403	1508132	2265.0	1.0	1.0	1508132	2265.0	1.0	1.0	NA	Gold standard	sample_0
Otu245.0	2225494	349.0423462986198	6376.0	Otu245.0	2225494	6376.0	1.0	1.0	2225494	6376.0	1.0	1.0	NA	Gold standard	sample_0
Otu1283	1346753	285.6921934662707	4714.0	Otu1283	1346753	4714.0	1.0	1.0	1346753	4714.0	1.0	1.0	NA	Gold standard	sample_0
Otu394.0	2275214	337.16864256075877	6748.0	Otu394.0	2275214	6748.0	1.0	1.0	2275214	6748.0	1.0	1.0	NA	Gold standard	sample_0
Otu1040	2760075	349.2439579906365	7903.0	Otu1040	2760075	7903.0	1.0	1.0	2760075	7903.0	1.0	1.0	NA	Gold standard	sample_0
Otu794.0	994670	284.27264932837954	3499.0	Otu794.0	994670	3499.0	1.0	1.0	994670	3499.0	1.0	1.0	NA	Gold standard	sample_0
Otu683.0	5378425	2446.9631483166513	2198.0	Otu683.0	5378425	2198.0	1.0	1.0	5378425	2198.0	1.0	1.0	NA	Gold standard	sample_0
Otu1089	3217849	675.876706574249	4761.0	Otu1089	3217849	4761.0	1.0	1.0	3217849	4761.0	1.0	1.0	NA	Gold standard	sample_0
Otu302.0	3013659	1873.0012430080797	1609.0	Otu302.0	3013659	1609.0	1.0	1.0	3013659	1609.0	1.0	1.0	NA	Gold standard	sample_0
Otu44.0	859024	285.10587454364423	3013.0	Otu44.0	859024	3013.0	1.0	1.0	859024	3013.0	1.0	1.0	NA	Gold standard	sample_0
Otu2121	948444	289.95536533170286	3271.0	Otu2121	948444	3271.0	1.0	1.0	948444	3271.0	1.0	1.0	NA	Gold standard	sample_0
Otu106	964571	349.3556682361463	2761.0	Otu106	964571	2761.0	1.0	1.0	964571	2761.0	1.0	1.0	NA	Gold standard	sample_0
Otu2446	1414734	283.68437938640466	4987.0	Otu2446	1414734	4987.0	1.0	1.0	1414734	4987.0	1.0	1.0	NA	Gold standard	sample_0
Otu1433	3387696	350.40297889946214	9668.0	Otu1433	3387696	9668.0	1.0	1.0	3387696	9668.0	1.0	1.0	NA	Gold standard	sample_0
Otu78	4260615	851.6120327803318	5003.0	Otu78	4260615	5003.0	1.0	1.0	4260615	5003.0	1.0	1.0	NA	Gold standard	sample_0
Otu80.0	4643180	5527.5952380952385	840.0	Otu80.0	4643180	840.0	1.0	1.0	4643180	840.0	1.0	1.0	NA	Gold standard	sample_0
Otu1870	1022517	284.4275382475661	3595.0	Otu1870	1022517	3595.0	1.0	1.0	1022517	3595.0	1.0	1.0	NA	Gold standard	sample_0
Otu1950	2157202	285.6086323315239	7553.0	Otu1950	2157202	7553.0	1.0	1.0	2157202	7553.0	1.0	1.0	NA	Gold standard	sample_0
Otu1344	1412771	286.3918508007298	4933.0	Otu1344	1412771	4933.0	1.0	1.0	1412771	4933.0	1.0	1.0	NA	Gold standard	sample_0
Otu1193	1359666	858.9172457359444	1583.0	Otu1193	1359666	1583.0	1.0	1.0	1359666	1583.0	1.0	1.0	NA	Gold standard	sample_0
Otu1065	2912017	671.9005537609598	4334.0	Otu1065	2912017	4334.0	1.0	1.0	2912017	4334.0	1.0	1.0	NA	Gold standard	sample_0
Otu1585	1740178	346.5799641505676	5021.0	Otu1585	1740178	5021.0	1.0	1.0	1740178	5021.0	1.0	1.0	NA	Gold standard	sample_0
Otu230.0	550276	263.54214559386975	2088.0	Otu230.0	550276	2088.0	1.0	1.0	550276	2088.0	1.0	1.0	NA	Gold standard	sample_0
Otu261	2901936	429.6618300266509	6754.0	Otu261	2901936	6754.0	1.0	1.0	2901936	6754.0	1.0	1.0	NA	Gold standard	sample_0
Otu1187	3211071	348.7640925382861	9207.0	Otu1187	3211071	9207.0	1.0	1.0	3211071	9207.0	1.0	1.0	NA	Gold standard	sample_0
Otu953.0	2546733	429.5383707201889	5929.0	Otu953.0	2546733	5929.0	1.0	1.0	2546733	5929.0	1.0	1.0	NA	Gold standard	sample_0
Otu1191	1087852	286.0510123586642	3803.0	Otu1191	1087852	3803.0	1.0	1.0	1087852	3803.0	1.0	1.0	NA	Gold standard	sample_0
Otu2119.0	1835468	353.04250817464896	5199.0	Otu2119.0	1835468	5199.0	1.0	1.0	1835468	5199.0	1.0	1.0	NA	Gold standard	sample_0
Otu61.0	3018733	518.2374248927039	5825.0	Otu61.0	3018733	5825.0	1.0	1.0	3018733	5825.0	1.0	1.0	NA	Gold standard	sample_0
Otu108.1	4620138	896.2440349175557	5155.0	Otu108.1	4620138	5155.0	1.0	1.0	4620138	5155.0	1.0	1.0	NA	Gold standard	sample_0
Otu123.0	2794714	863.632262051916	3236.0	Otu123.0	2794714	3236.0	1.0	1.0	2794714	3236.0	1.0	1.0	NA	Gold standard	sample_0
Otu1896	1066712	284.15343633457644	3754.0	Otu1896	1066712	3754.0	1.0	1.0	1066712	3754.0	1.0	1.0	NA	Gold standard	sample_0
Otu1501	1528784	285.70061670715756	5351.0	Otu1501	1528784	5351.0	1.0	1.0	1528784	5351.0	1.0	1.0	NA	Gold standard	sample_0
Otu1446.0	1874981	287.3974555487431	6524.0	Otu1446.0	1874981	6524.0	1.0	1.0	1874981	6524.0	1.0	1.0	NA	Gold standard	sample_0
Otu613	2971526	1429.3054353054354	2079.0	Otu613	2971526	2079.0	1.0	1.0	2971526	2079.0	1.0	1.0	NA	Gold standard	sample_0
Otu1133	1627263	286.1876538867394	5686.0	Otu1133	1627263	5686.0	1.0	1.0	1627263	5686.0	1.0	1.0	NA	Gold standard	sample_0
Otu241.0	3224968	430.6273200694352	7489.0	Otu241.0	3224968	7489.0	1.0	1.0	3224968	7489.0	1.0	1.0	NA	Gold standard	sample_0
Otu800.0	2913055	430.09818396574633	6773.0	Otu800.0	2913055	6773.0	1.0	1.0	2913055	6773.0	1.0	1.0	NA	Gold standard	sample_0
Otu79.1	3837831	1146.9907352062164	3346.0	Otu79.1	3837831	3346.0	1.0	1.0	3837831	3346.0	1.0	1.0	NA	Gold standard	sample_0
Otu812	2126970	354.1998334721066	6005.0	Otu812	2126970	6005.0	1.0	1.0	2126970	6005.0	1.0	1.0	NA	Gold standard	sample_0
Otu1487	2597916	429.76277915632755	6045.0	Otu1487	2597916	6045.0	1.0	1.0	2597916	6045.0	1.0	1.0	NA	Gold standard	sample_0
Otu1136.0	1159452	288.5644599303136	4018.0	Otu1136.0	1159452	4018.0	1.0	1.0	1159452	4018.0	1.0	1.0	NA	Gold standard	sample_0
Otu1111	3668897	430.92518205308903	8514.0	Otu1111	3668897	8514.0	1.0	1.0	3668897	8514.0	1.0	1.0	NA	Gold standard	sample_0
Otu1462.0	996989	285.9159736162891	3487.0	Otu1462.0	996989	3487.0	1.0	1.0	996989	3487.0	1.0	1.0	NA	Gold standard	sample_0
Otu371	4488668	536.1524128045867	8372.0	Otu371	4488668	8372.0	1.0	1.0	4488668	8372.0	1.0	1.0	NA	Gold standard	sample_0
Otu22	1855390	348.95429753620465	5317.0	Otu22	1855390	5317.0	1.0	1.0	1855390	5317.0	1.0	1.0	NA	Gold standard	sample_0
Otu1279	2418895	284.9782045240339	8488.0	Otu1279	2418895	8488.0	1.0	1.0	2418895	8488.0	1.0	1.0	NA	Gold standard	sample_0
Otu352.0	2789030	357.7055277670899	7797.0	Otu352.0	2789030	7797.0	1.0	1.0	2789030	7797.0	1.0	1.0	NA	Gold standard	sample_0
Otu89	1644720	836.5818921668363	1966.0	Otu89	1644720	1966.0	1.0	1.0	1644720	1966.0	1.0	1.0	NA	Gold standard	sample_0
