BINID	TAXID	Tool	filtered	genome_id	index	length_gs	name	precision_bp	precision_seq	rank	recall_bp	recall_seq	sample_id	seq_counts_gs	seq_length_mean	total_length	total_seq_counts	tp_length	tp_seq_counts
Otu472.0		Gold standard		Otu472.0		2588728		1.0	1.0	NA	1.0	1.0	sample_0	6440	401.97639751552794	2588728	6440	2588728	6440
Otu1570		Gold standard		Otu1570		3028097		1.0	1.0	NA	1.0	1.0	sample_0	8047	376.3013545420654	3028097	8047	3028097	8047
Otu2180		Gold standard		Otu2180		4338439		1.0	1.0	NA	1.0	1.0	sample_0	5370	807.9029795158286	4338439	5370	4338439	5370
Otu664.0		Gold standard		Otu664.0		4007148		1.0	1.0	NA	1.0	1.0	sample_0	2449	1636.238464679461	4007148	2449	4007148	2449
Otu2314		Gold standard		Otu2314		3109057		1.0	1.0	NA	1.0	1.0	sample_0	4483	693.5215257639974	3109057	4483	3109057	4483
Otu1010		Gold standard		Otu1010		5351892		1.0	1.0	NA	1.0	1.0	sample_0	2033	2632.50959173635	5351892	2033	5351892	2033
Otu360		Gold standard		Otu360		3454430		1.0	1.0	NA	1.0	1.0	sample_0	263	13134.714828897339	3454430	263	3454430	263
Otu2439		Gold standard		Otu2439		5849801		1.0	1.0	NA	1.0	1.0	sample_0	12031	486.22732939905245	5849801	12031	5849801	12031
Otu2297		Gold standard		Otu2297		2210343		1.0	1.0	NA	1.0	1.0	sample_0	2922	756.4486652977413	2210343	2922	2210343	2922
Otu1386		Gold standard		Otu1386		4669997		1.0	1.0	NA	1.0	1.0	sample_0	4542	1028.1807573756055	4669997	4542	4669997	4542
Otu133.1		Gold standard		Otu133.1		2974388		1.0	1.0	NA	1.0	1.0	sample_0	3167	939.1815598358068	2974388	3167	2974388	3167
Otu2322		Gold standard		Otu2322		4869165		1.0	1.0	NA	1.0	1.0	sample_0	8010	607.8857677902622	4869165	8010	4869165	8010
Otu707		Gold standard		Otu707		4370855		1.0	1.0	NA	1.0	1.0	sample_0	1492	2929.527479892761	4370855	1492	4370855	1492
Otu801.0		Gold standard		Otu801.0		3517606		1.0	1.0	NA	1.0	1.0	sample_0	4801	732.681941262237	3517606	4801	3517606	4801
Otu1673		Gold standard		Otu1673		3732236		1.0	1.0	NA	1.0	1.0	sample_0	6759	552.1876017162302	3732236	6759	3732236	6759
Otu2098		Gold standard		Otu2098		1619009		1.0	1.0	NA	1.0	1.0	sample_0	3649	443.68566730611127	1619009	3649	1619009	3649
Otu1804		Gold standard		Otu1804		3343034		1.0	1.0	NA	1.0	1.0	sample_0	8774	381.0159562343287	3343034	8774	3343034	8774
Otu2363.0		Gold standard		Otu2363.0		2728528		1.0	1.0	NA	1.0	1.0	sample_0	4300	634.5413953488372	2728528	4300	2728528	4300
Otu1806		Gold standard		Otu1806		1288668		1.0	1.0	NA	1.0	1.0	sample_0	4539	283.91011235955057	1288668	4539	1288668	4539
Otu2441.0		Gold standard		Otu2441.0		2698724		1.0	1.0	NA	1.0	1.0	sample_0	4335	622.5430219146482	2698724	4335	2698724	4335
Otu1737		Gold standard		Otu1737		4020615		1.0	1.0	NA	1.0	1.0	sample_0	9299	432.3706850198946	4020615	9299	4020615	9299
Otu2313		Gold standard		Otu2313		2576417		1.0	1.0	NA	1.0	1.0	sample_0	6207	415.082487514097	2576417	6207	2576417	6207
Otu2191		Gold standard		Otu2191		1257039		1.0	1.0	NA	1.0	1.0	sample_0	2889	435.1121495327103	1257039	2889	1257039	2889
Otu1336		Gold standard		Otu1336		2191830		1.0	1.0	NA	1.0	1.0	sample_0	3665	598.043656207367	2191830	3665	2191830	3665
Otu2326		Gold standard		Otu2326		2489538		1.0	1.0	NA	1.0	1.0	sample_0	3808	653.7652310924369	2489538	3808	2489538	3808
Otu2123		Gold standard		Otu2123		3389429		1.0	1.0	NA	1.0	1.0	sample_0	6589	514.4071938078616	3389429	6589	3389429	6589
Otu1921		Gold standard		Otu1921		3100311		1.0	1.0	NA	1.0	1.0	sample_0	6741	459.91855807743656	3100311	6741	3100311	6741
Otu1301		Gold standard		Otu1301		3746521		1.0	1.0	NA	1.0	1.0	sample_0	5358	699.2387084733109	3746521	5358	3746521	5358
Otu2003		Gold standard		Otu2003		2134802		1.0	1.0	NA	1.0	1.0	sample_0	6539	326.4722434623031	2134802	6539	2134802	6539
Otu1068.0		Gold standard		Otu1068.0		3275423		1.0	1.0	NA	1.0	1.0	sample_0	4966	659.5696737817157	3275423	4966	3275423	4966
Otu1843.0		Gold standard		Otu1843.0		2212321		1.0	1.0	NA	1.0	1.0	sample_0	6584	336.0147326852977	2212321	6584	2212321	6584
Otu1242		Gold standard		Otu1242		2741089		1.0	1.0	NA	1.0	1.0	sample_0	2554	1073.2533281127644	2741089	2554	2741089	2554
Otu1366		Gold standard		Otu1366		2049934		1.0	1.0	NA	1.0	1.0	sample_0	6305	325.1283108643933	2049934	6305	2049934	6305
Otu610		Gold standard		Otu610		3871112		1.0	1.0	NA	1.0	1.0	sample_0	5483	706.0207915374795	3871112	5483	3871112	5483
Otu801.1		Gold standard		Otu801.1		2000412		1.0	1.0	NA	1.0	1.0	sample_0	5852	341.8339029391661	2000412	5852	2000412	5852
Otu677		Gold standard		Otu677		4861138		1.0	1.0	NA	1.0	1.0	sample_0	1068	4551.62734082397	4861138	1068	4861138	1068
Otu1900		Gold standard		Otu1900		2220360		1.0	1.0	NA	1.0	1.0	sample_0	1956	1135.153374233129	2220360	1956	2220360	1956
Otu1952		Gold standard		Otu1952		1927762		1.0	1.0	NA	1.0	1.0	sample_0	5219	369.3738264035256	1927762	5219	1927762	5219
Otu340		Gold standard		Otu340		1697120		1.0	1.0	NA	1.0	1.0	sample_0	638	2660.0626959247647	1697120	638	1697120	638
Otu1277		Gold standard		Otu1277		4330762		1.0	1.0	NA	1.0	1.0	sample_0	6373	679.5484073434803	4330762	6373	4330762	6373
Otu2386		Gold standard		Otu2386		3139089		1.0	1.0	NA	1.0	1.0	sample_0	7040	445.89332386363634	3139089	7040	3139089	7040
Otu2304		Gold standard		Otu2304		1311242		1.0	1.0	NA	1.0	1.0	sample_0	2335	561.5597430406852	1311242	2335	1311242	2335
Otu924		Gold standard		Otu924		4637208		1.0	1.0	NA	1.0	1.0	sample_0	148	31332.486486486487	4637208	148	4637208	148
Otu2170		Gold standard		Otu2170		4233046		1.0	1.0	NA	1.0	1.0	sample_0	5293	799.7441904402041	4233046	5293	4233046	5293
Otu1743		Gold standard		Otu1743		1869662		1.0	1.0	NA	1.0	1.0	sample_0	5485	340.8681859617138	1869662	5485	1869662	5485
Otu2395		Gold standard		Otu2395		2304803		1.0	1.0	NA	1.0	1.0	sample_0	6660	346.0665165165165	2304803	6660	2304803	6660
Otu2441.1		Gold standard		Otu2441.1		721750		1.0	1.0	NA	1.0	1.0	sample_0	2681	269.20925027974636	721750	2681	721750	2681
Otu1896		Gold standard		Otu1896		3221435		1.0	1.0	NA	1.0	1.0	sample_0	2740	1175.706204379562	3221435	2740	3221435	2740
Otu1156		Gold standard		Otu1156		4536480		1.0	1.0	NA	1.0	1.0	sample_0	790	5742.379746835443	4536480	790	4536480	790
Otu1786		Gold standard		Otu1786		3367250		1.0	1.0	NA	1.0	1.0	sample_0	1734	1941.8973471741638	3367250	1734	3367250	1734
Otu920		Gold standard		Otu920		789621		1.0	1.0	NA	1.0	1.0	sample_0	2314	341.23638720829734	789621	2314	789621	2314
Otu1876		Gold standard		Otu1876		4626454		1.0	1.0	NA	1.0	1.0	sample_0	8649	534.9120129494739	4626454	8649	4626454	8649
Otu753		Gold standard		Otu753		1956637		1.0	1.0	NA	1.0	1.0	sample_0	1297	1508.5867386276022	1956637	1297	1956637	1297
Otu1255		Gold standard		Otu1255		2224246		1.0	1.0	NA	1.0	1.0	sample_0	4992	445.56209935897436	2224246	4992	2224246	4992
Otu843		Gold standard		Otu843		4841504		1.0	1.0	NA	1.0	1.0	sample_0	2198	2202.686078252957	4841504	2198	4841504	2198
Otu370.0		Gold standard		Otu370.0		2483029		1.0	1.0	NA	1.0	1.0	sample_0	3070	808.8042345276873	2483029	3070	2483029	3070
Otu447.0		Gold standard		Otu447.0		878451		1.0	1.0	NA	1.0	1.0	sample_0	3061	286.9817053250572	878451	3061	878451	3061
Otu1254		Gold standard		Otu1254		3637570		1.0	1.0	NA	1.0	1.0	sample_0	8513	427.2959003876424	3637570	8513	3637570	8513
Otu1505.0		Gold standard		Otu1505.0		5938656		1.0	1.0	NA	1.0	1.0	sample_0	3732	1591.2797427652733	5938656	3732	5938656	3732
Otu1844		Gold standard		Otu1844		2533318		1.0	1.0	NA	1.0	1.0	sample_0	6891	367.62704977506894	2533318	6891	2533318	6891
Otu555.0		Gold standard		Otu555.0		4421702		1.0	1.0	NA	1.0	1.0	sample_0	701	6307.706134094151	4421702	701	4421702	701
Otu1871		Gold standard		Otu1871		1051732		1.0	1.0	NA	1.0	1.0	sample_0	3413	308.15470260767654	1051732	3413	1051732	3413
Otu2489		Gold standard		Otu2489		3896572		1.0	1.0	NA	1.0	1.0	sample_0	9680	402.5384297520661	3896572	9680	3896572	9680
Otu2058		Gold standard		Otu2058		4488608		1.0	1.0	NA	1.0	1.0	sample_0	9411	476.95335245988736	4488608	9411	4488608	9411
Otu2052		Gold standard		Otu2052		5078386		1.0	1.0	NA	1.0	1.0	sample_0	4225	1201.984852071006	5078386	4225	5078386	4225
Otu1947		Gold standard		Otu1947		3427291		1.0	1.0	NA	1.0	1.0	sample_0	7022	488.07903731130733	3427291	7022	3427291	7022
Otu947		Gold standard		Otu947		2858324		1.0	1.0	NA	1.0	1.0	sample_0	8039	355.5571588506033	2858324	8039	2858324	8039
Otu1140		Gold standard		Otu1140		3018190		1.0	1.0	NA	1.0	1.0	sample_0	6951	434.20946626384693	3018190	6951	3018190	6951
Otu1391		Gold standard		Otu1391		3249199		1.0	1.0	NA	1.0	1.0	sample_0	7712	421.31729771784234	3249199	7712	3249199	7712
Otu799.0		Gold standard		Otu799.0		3251308		1.0	1.0	NA	1.0	1.0	sample_0	1757	1850.4883323847466	3251308	1757	3251308	1757
Otu1929		Gold standard		Otu1929		1870636		1.0	1.0	NA	1.0	1.0	sample_0	1689	1107.5405565423328	1870636	1689	1870636	1689
Otu1560		Gold standard		Otu1560		2237297		1.0	1.0	NA	1.0	1.0	sample_0	4641	482.07218271924154	2237297	4641	2237297	4641
Otu639		Gold standard		Otu639		2225376		1.0	1.0	NA	1.0	1.0	sample_0	2646	841.0340136054422	2225376	2646	2225376	2646
Otu1998		Gold standard		Otu1998		3478358		1.0	1.0	NA	1.0	1.0	sample_0	9616	361.72608153078204	3478358	9616	3478358	9616
Otu413		Gold standard		Otu413		4758119		1.0	1.0	NA	1.0	1.0	sample_0	268	17754.175373134327	4758119	268	4758119	268
Otu1746		Gold standard		Otu1746		3839948		1.0	1.0	NA	1.0	1.0	sample_0	10885	352.7742765273312	3839948	10885	3839948	10885
Otu1227		Gold standard		Otu1227		3299357		1.0	1.0	NA	1.0	1.0	sample_0	1925	1713.9516883116883	3299357	1925	3299357	1925
Otu1767		Gold standard		Otu1767		3679233		1.0	1.0	NA	1.0	1.0	sample_0	12057	305.15327195819856	3679233	12057	3679233	12057
Otu1015		Gold standard		Otu1015		2509784		1.0	1.0	NA	1.0	1.0	sample_0	2616	959.3975535168196	2509784	2616	2509784	2616
Otu2172		Gold standard		Otu2172		5432048		1.0	1.0	NA	1.0	1.0	sample_0	7840	692.8632653061225	5432048	7840	5432048	7840
Otu1975.0		Gold standard		Otu1975.0		1828388		1.0	1.0	NA	1.0	1.0	sample_0	3209	569.7687753194142	1828388	3209	1828388	3209
Otu1653		Gold standard		Otu1653		2506182		1.0	1.0	NA	1.0	1.0	sample_0	4394	570.3645880746473	2506182	4394	2506182	4394
Otu1892		Gold standard		Otu1892		1914516		1.0	1.0	NA	1.0	1.0	sample_0	3828	500.1347962382445	1914516	3828	1914516	3828
Otu1038		Gold standard		Otu1038		2131996		1.0	1.0	NA	1.0	1.0	sample_0	2463	865.6094194072269	2131996	2463	2131996	2463
Otu1070.0		Gold standard		Otu1070.0		2199574		1.0	1.0	NA	1.0	1.0	sample_0	4750	463.0682105263158	2199574	4750	2199574	4750
Otu1264		Gold standard		Otu1264		3126795		1.0	1.0	NA	1.0	1.0	sample_0	4080	766.3713235294117	3126795	4080	3126795	4080
Otu1460		Gold standard		Otu1460		2043136		1.0	1.0	NA	1.0	1.0	sample_0	4239	481.9853739089408	2043136	4239	2043136	4239
Otu2196		Gold standard		Otu2196		2266088		1.0	1.0	NA	1.0	1.0	sample_0	6057	374.12712563975566	2266088	6057	2266088	6057
Otu1462.0		Gold standard		Otu1462.0		3231754		1.0	1.0	NA	1.0	1.0	sample_0	1005	3215.675621890547	3231754	1005	3231754	1005
Otu1414.0		Gold standard		Otu1414.0		3172290		1.0	1.0	NA	1.0	1.0	sample_0	3120	1016.7596153846154	3172290	3120	3172290	3120
Otu794.0		Gold standard		Otu794.0		3249442		1.0	1.0	NA	1.0	1.0	sample_0	354	9179.214689265536	3249442	354	3249442	354
Otu2154		Gold standard		Otu2154		1298851		1.0	1.0	NA	1.0	1.0	sample_0	2027	640.7750370004933	1298851	2027	1298851	2027
Otu1739		Gold standard		Otu1739		3187242		1.0	1.0	NA	1.0	1.0	sample_0	4951	643.7572207634821	3187242	4951	3187242	4951
Otu1832		Gold standard		Otu1832		1623948		1.0	1.0	NA	1.0	1.0	sample_0	1478	1098.746955345061	1623948	1478	1623948	1478
Otu435.0		Gold standard		Otu435.0		745939		1.0	1.0	NA	1.0	1.0	sample_0	2785	267.84165170556554	745939	2785	745939	2785
Otu1146.0		Gold standard		Otu1146.0		2632266		1.0	1.0	NA	1.0	1.0	sample_0	3358	783.8790946992257	2632266	3358	2632266	3358
Otu2014		Gold standard		Otu2014		6171988		1.0	1.0	NA	1.0	1.0	sample_0	3429	1799.9381743948672	6171988	3429	6171988	3429
Otu61.1		Gold standard		Otu61.1		5422633		1.0	1.0	NA	1.0	1.0	sample_0	4352	1246.0094209558824	5422633	4352	5422633	4352
Otu805		Gold standard		Otu805		5931177		1.0	1.0	NA	1.0	1.0	sample_0	1448	4096.116712707182	5931177	1448	5931177	1448
Otu1894		Gold standard		Otu1894		3860287		1.0	1.0	NA	1.0	1.0	sample_0	2304	1675.4717881944443	3860287	2304	3860287	2304
Otu923		Gold standard		Otu923		5173431		1.0	1.0	NA	1.0	1.0	sample_0	1121	4615.014272970562	5173431	1121	5173431	1121
Otu1620		Gold standard		Otu1620		4148932		1.0	1.0	NA	1.0	1.0	sample_0	2797	1483.3507329281372	4148932	2797	4148932	2797
Otu767		Gold standard		Otu767		1682895		1.0	1.0	NA	1.0	1.0	sample_0	507	3319.319526627219	1682895	507	1682895	507
Otu2053		Gold standard		Otu2053		1356729		1.0	1.0	NA	1.0	1.0	sample_0	2783	487.50592885375494	1356729	2783	1356729	2783
Otu2343		Gold standard		Otu2343		2337397		1.0	1.0	NA	1.0	1.0	sample_0	6818	342.8273687298328	2337397	6818	2337397	6818
Otu618.0		Gold standard		Otu618.0		5015644		1.0	1.0	NA	1.0	1.0	sample_0	1666	3010.590636254502	5015644	1666	5015644	1666
Otu2448		Gold standard		Otu2448		1501442		1.0	1.0	NA	1.0	1.0	sample_0	1801	833.671293725708	1501442	1801	1501442	1801
Otu783		Gold standard		Otu783		4915379		1.0	1.0	NA	1.0	1.0	sample_0	671	7325.45305514158	4915379	671	4915379	671
Otu1617		Gold standard		Otu1617		3533605		1.0	1.0	NA	1.0	1.0	sample_0	5339	661.8477242929388	3533605	5339	3533605	5339
Otu497.0		Gold standard		Otu497.0		1403263		1.0	1.0	NA	1.0	1.0	sample_0	3991	351.6068654472563	1403263	3991	1403263	3991
Otu941		Gold standard		Otu941		5154723		1.0	1.0	NA	1.0	1.0	sample_0	3657	1409.549630844955	5154723	3657	5154723	3657
Otu2259		Gold standard		Otu2259		1878237		1.0	1.0	NA	1.0	1.0	sample_0	5982	313.981444332999	1878237	5982	1878237	5982
Otu1287		Gold standard		Otu1287		4794364		1.0	1.0	NA	1.0	1.0	sample_0	1525	3143.8452459016394	4794364	1525	4794364	1525
Otu1123		Gold standard		Otu1123		4880230		1.0	1.0	NA	1.0	1.0	sample_0	727	6712.83356258597	4880230	727	4880230	727
Otu2346.0		Gold standard		Otu2346.0		1699928		1.0	1.0	NA	1.0	1.0	sample_0	5209	326.3444039162987	1699928	5209	1699928	5209
Otu1773		Gold standard		Otu1773		4544254		1.0	1.0	NA	1.0	1.0	sample_0	6789	669.3554278980704	4544254	6789	4544254	6789
Otu1193		Gold standard		Otu1193		1359666		1.0	1.0	NA	1.0	1.0	sample_0	1583	858.9172457359444	1359666	1583	1359666	1583
Otu489.0		Gold standard		Otu489.0		3765770		1.0	1.0	NA	1.0	1.0	sample_0	645	5838.403100775194	3765770	645	3765770	645
Otu2276		Gold standard		Otu2276		2884558		1.0	1.0	NA	1.0	1.0	sample_0	5121	563.2802187072838	2884558	5121	2884558	5121
Otu1420.0		Gold standard		Otu1420.0		5263456		1.0	1.0	NA	1.0	1.0	sample_0	1127	4670.3247559893525	5263456	1127	5263456	1127
Otu873.0		Gold standard		Otu873.0		3386562		1.0	1.0	NA	1.0	1.0	sample_0	2004	1689.9011976047905	3386562	2004	3386562	2004
Otu1597		Gold standard		Otu1597		1365882		1.0	1.0	NA	1.0	1.0	sample_0	2844	480.2679324894515	1365882	2844	1365882	2844
Otu2282		Gold standard		Otu2282		1704002		1.0	1.0	NA	1.0	1.0	sample_0	5442	313.1205439176773	1704002	5442	1704002	5442
Otu1080		Gold standard		Otu1080		1854101		1.0	1.0	NA	1.0	1.0	sample_0	143	12965.741258741258	1854101	143	1854101	143
Otu2385		Gold standard		Otu2385		1135559		1.0	1.0	NA	1.0	1.0	sample_0	3274	346.841478313989	1135559	3274	1135559	3274
Otu1722		Gold standard		Otu1722		3545962		1.0	1.0	NA	1.0	1.0	sample_0	7135	496.98135949544496	3545962	7135	3545962	7135
Otu2433.0		Gold standard		Otu2433.0		4229893		1.0	1.0	NA	1.0	1.0	sample_0	2137	1979.3603182030884	4229893	2137	4229893	2137
Otu860		Gold standard		Otu860		4004643		1.0	1.0	NA	1.0	1.0	sample_0	1402	2856.3787446504994	4004643	1402	4004643	1402
Otu1027		Gold standard		Otu1027		3923986		1.0	1.0	NA	1.0	1.0	sample_0	29	135309.8620689655	3923986	29	3923986	29
Otu643.0		Gold standard		Otu643.0		3101821		1.0	1.0	NA	1.0	1.0	sample_0	2387	1299.46418098031	3101821	2387	3101821	2387
